t,year,earth_arrivals_tons,rocket_arrivals_tons,elevator_arrivals_tons,rocket_trips,isru_production_tons,total_supply_tons,isru_share,cumulative_city_tons,capacity_tpy
105,2058.75,65223.6618938653,20473.661893865294,44750.0,101.0,286829.3646048892,352053.0264987545,0.8147334151831356,32394476.18650354,3441952.3752586707
106,2058.8333333333335,65262.26993254169,20512.269932541683,44750.0,101.0,235114.3627007387,300376.6326332804,0.7827318677874048,32720787.53616625,2821372.3524088645
107,2058.9166666666665,65300.63752664969,20550.637526649687,44750.00000000001,101.0,261343.31849225634,326643.956018906,0.8000861907180976,33047290.7237995,3136119.821907076
108,2059.0,65338.76501491897,20588.765014918976,44749.99999999999,101.0,261214.29167401828,326553.05668893724,0.7999137852898486,33373984.548874095,3134571.5000882195
109,2059.0833333333335,65376.65275571216,20626.652755712166,44749.99999999999,101.0,261985.04009645962,327361.6928521718,0.800292293865811,33700867.812652655,3143820.4811575157
110,2059.1666666666665,65618.89816758144,20868.898167581447,44749.99999999999,102.0,288234.64333255,353853.5415001315,0.8145591594494269,34028962.30349056,3458815.7199906004
111,2059.25,65656.67795561033,20906.677955610332,44750.0,102.0,236389.23208660606,302045.9100422164,0.7826268266753433,34357245.69326861,2836670.7850392726
112,2059.3333333333335,65694.21682406844,20944.21682406844,44750.0,102.0,262776.8672962737,328471.08412034216,0.7999999999999999,34685716.77738896,3153322.4075552844
113,2059.4166666666665,65731.51521111932,20981.515211119313,44750.00000000001,102.0,262926.06084447727,328657.5760555966,0.8,35014374.353444554,3155112.730133727
114,2059.5,65768.57357322481,21018.573573224814,44750.0,102.0,263074.2942928992,328842.867866124,0.7999999999999999,35343217.22131068,3156891.5315147904
115,2059.5833333333335,65805.39238483783,21055.392384837833,44750.0,102.0,263221.5695393513,329026.9619241891,0.7999999999999999,35672244.18323487,3158658.8344722153
116,2059.6666666666665,66048.75617866659,21298.756178666594,44749.99999999999,103.0,264195.0247146663,330243.7808933329,0.7999999999999999,36002487.9641282,3170340.2965759956
117,2059.75,66085.45366940931,21335.45366940931,44750.0,103.0,264341.8146776372,330427.2683470465,0.7999999999999999,36332915.23247525,3172101.7761316462
118,2059.8333333333335,66121.91080436028,21371.910804360272,44750.0,103.0,264558.21019211813,330680.1209964784,0.8000426799013284,36663524.78649705,3174698.522305418
119,2059.9166666666665,66158.1281322111,21408.128132211103,44750.0,103.0,291021.7710380723,357179.8991702834,0.8147764521858757,36994315.42715811,3492261.2524568676
120,2060.0,66194.106218282,21444.106218282002,44750.0,103.0,238316.59938922306,304510.70560750505,0.7826214152759476,37325285.95824952,2859799.192670677
121,2060.0833333333335,66229.84564421432,21479.845644214325,44750.0,103.0,264919.3825768573,331149.2282210716,0.8,37656435.18647059,3179032.5909222877
122,2060.1666666666665,66265.34700766575,21515.347007665754,44750.0,103.0,265061.38803066296,331326.7350383287,0.8,37987761.921508916,3180736.6563679557
123,2060.25,66509.84015425881,21759.840154258814,44749.99999999999,104.0,266039.3606170352,332549.200771294,0.7999999999999999,38320311.12228021,3192472.327404422
124,2060.3333333333335,66545.20731714004,21795.207317140048,44749.99999999999,104.0,266180.8292685601,332726.0365857001,0.8,38653037.158865914,3194169.9512227215
125,2060.4166666666665,66580.33601059622,21830.336010596213,44750.00000000001,104.0,266321.3440423848,332901.680052981,0.8,38985938.838918895,3195856.128508618
126,2060.5,66615.22689971066,21865.226899710655,44750.00000000001,104.0,266460.90759884263,333076.1344985533,0.8,39319014.973417446,3197530.8911861116
127,2060.5833333333335,66649.88066421114,21899.88066421114,44750.0,104.0,266599.5226568445,333249.4033210557,0.7999999999999999,39652264.3767385,3199194.2718821345
128,2060.6666666666665,66684.29799816877,21934.297998168764,44750.0,104.0,266737.191992675,333421.4899908438,0.7999999999999999,39985685.86672935,3200846.3039121004
129,2060.75,66718.4796096981,21968.479609698097,44750.0,104.0,266873.91843879235,333592.39804849046,0.7999999999999999,40319278.26477784,3202487.021265508
130,2060.8333333333335,66963.98801124046,22213.988011240457,44750.00000000001,105.0,267855.9520449618,334819.94005620223,0.8,40654098.204834044,3214271.424539542
131,2060.9166666666665,66998.02451410425,22248.024514104258,44750.0,105.0,267992.098056417,334990.12257052126,0.8,40989088.32740456,3215905.1766770044
132,2061.0,67031.82525480492,22281.825254804917,44750.00000000001,105.0,268127.3010192197,335159.1262740246,0.8,41324247.453678586,3217527.612230636
133,2061.0833333333335,67065.3910019753,22315.3910019753,44750.0,105.0,268261.5640079012,335326.95500987646,0.8,41659574.40868846,3219138.7680948144
134,2061.1666666666665,67098.72253693355,22348.72253693355,44750.0,105.0,268394.8901477342,335493.61268466775,0.8,41995068.02137313,3220738.6817728104
135,2061.25,67131.82065339033,22381.82065339033,44750.0,105.0,295248.1700443646,362379.9906977549,0.8147474408724129,42330727.12464008,3542978.040532375
136,2061.3333333333335,67164.68615715619,22414.68615715619,44750.0,105.0,241937.85719782143,309102.5433549776,0.7827106647905406,42666550.55542586,2903254.2863738574
137,2061.4166666666665,67197.31986585261,22447.31986585261,44750.0,105.0,268928.6660702691,336125.98593612167,0.8000829371204196,43002537.15475512,3227143.9928432293
138,2061.5,67443.81520489758,22693.81520489758,44749.99999999999,106.0,269635.8742127316,337079.68941762915,0.7999172975345389,43339756.23077961,3235630.4905527793
139,2061.5833333333335,67476.29422800691,22726.294228006907,44750.00000000001,106.0,269905.17691202764,337381.47114003455,0.8,43677137.701919645,3238862.1229443317
140,2061.6666666666665,67508.54179334806,22758.541793348064,44750.0,106.0,270034.1671733922,337542.7089667403,0.7999999999999999,44014680.410886385,3240410.0060807066
141,2061.75,67540.55877114144,22790.558771141445,44749.99999999999,106.0,297050.92429814534,364591.4830692868,0.814750036938449,44352383.20474209,3564611.091577744
142,2061.8333333333335,67572.34604209996,22822.346042099958,44750.0,106.0,243400.6949548202,310973.0409969202,0.782706739383337,44690244.934952594,2920808.3394578425
143,2061.9166666666665,67603.90449715014,22853.90449715014,44750.0,106.0,270415.6179886005,338019.52248575067,0.7999999999999999,45028264.45743834,3244987.415863206
144,2062.0,67635.23503715546,22885.235037155464,44750.0,106.0,270540.94014862186,338176.1751857773,0.8,45366440.63262412,3246491.2817834625
145,2062.0833333333335,67666.33857264054,22916.338572640536,44750.0,106.0,271166.8431559373,338833.1817285779,0.8002960093003978,45704772.32548732,3254002.117871248
146,2062.1666666666665,67913.69919355238,23163.699193552384,44750.0,107.0,298334.3559734344,366248.0551669868,0.814569119929967,46044340.821455084,3580012.271681213
147,2062.25,67944.64066145543,23194.640661455433,44749.99999999999,107.0,244597.5145812216,312542.155242677,0.7826064755690348,46384064.02476236,2935170.1749746595
148,2062.3333333333335,67975.35579640928,23225.35579640927,44750.00000000001,107.0,271901.42318563705,339876.7789820463,0.8,46723940.803744406,3262817.078227645
149,2062.4166666666665,68005.84555381446,23255.84555381446,44750.0,107.0,272023.3822152578,340029.2277690723,0.7999999999999999,47063970.031513475,3264280.5865830937
150,2062.5,68036.1108974749,23286.11089747489,44750.0,107.0,272144.4435898995,340180.5544873744,0.8,47404150.58600085,3265733.3230787944
151,2062.5833333333335,68066.15279933442,23316.152799334424,44749.99999999999,107.0,272264.6111973376,340330.76399667206,0.7999999999999999,47744481.34999753,3267175.3343680515
152,2062.6666666666665,68095.97223921772,23345.972239217717,44750.00000000001,107.0,272383.8889568709,340479.8611960886,0.8,48084961.21119361,3268606.6674824506
153,2062.75,68125.57020457365,23375.570204573647,44750.00000000001,107.0,272502.28081829456,340627.8510228682,0.8,48425589.06221648,3270027.369819535
154,2062.8333333333335,68373.68551910052,23623.685519100516,44750.0,108.0,273494.74207640206,341868.4275955026,0.8,48767457.48981198,3281936.904916825
155,2062.9166666666665,68403.11603171911,23653.116031719113,44749.99999999999,108.0,273612.4641268764,342015.58015859546,0.8,49109473.06997058,3283349.569522517
156,2063.0,68432.32603360216,23682.326033602163,44750.0,108.0,300985.88137368194,369418.2074072841,0.8147564882795411,49451634.70013859,3611830.576484184
157,2063.0833333333335,68461.31654966646,23711.31654966646,44750.0,108.0,246588.68895939246,315050.00550905894,0.7826969834866486,49793941.28288692,2959064.26751271
158,2063.1666666666665,68490.08861126762,23740.088611267616,44750.00000000001,108.0,273960.3544450705,342450.4430563381,0.8,50136391.72594326,3287524.253340846
159,2063.25,68518.6432559577,23768.64325595769,44750.00000000001,108.0,274074.5730238308,342593.21627978847,0.8,50478984.94222305,3288894.8762859693
160,2063.3333333333335,68546.98152724424,23796.98152724423,44750.00000000001,108.0,274187.9261089769,342734.90763622115,0.7999999999999999,50821719.84985927,3290255.113307723
161,2063.4166666666665,68575.10447435355,23825.104474353553,44749.99999999999,108.0,274300.4178974142,342875.5223717677,0.8,51164595.37223104,3291605.01476897
162,2063.5,68603.01315199696,23853.013151996962,44750.0,108.0,274412.05260798783,343015.0657599848,0.8,51507610.43799102,3292944.631295854
163,2063.5833333333335,68851.82629254706,24101.826292547063,44750.0,109.0,275407.30517018825,344259.1314627353,0.8,51851869.56945376,3304887.6620422592
164,2063.6666666666665,68879.56409139371,24129.564091393713,44749.99999999999,109.0,302959.5931033932,371839.15719478694,0.8147597885843116,52196267.38991073,3635515.1172407186
165,2063.75,68907.08886111909,24157.08886111909,44750.0,109.0,248187.01870665792,317094.10756777704,0.7826919920093733,52540802.83421633,2978244.224479895
166,2063.8333333333335,68934.40168603465,24184.401686034646,44750.0,109.0,275737.6067441386,344672.0084301732,0.8,52885474.8426465,3308851.280929663
167,2063.9166666666665,68961.50365484858,24211.503654848584,44749.99999999999,109.0,275846.01461939426,344807.5182742429,0.7999999999999999,53230282.36092074,3310152.1754327314
168,2064.0,68988.39586044749,24238.395860447486,44750.00000000001,109.0,303441.82116699993,372430.2170274474,0.8147615507380724,53575224.34022298,3641301.8540039994
169,2064.0833333333335,69015.07939967944,24265.07939967943,44750.00000000001,109.0,248572.07987350773,317587.15927318716,0.7826893267422285,53920299.737221375,2982864.9584820927
170,2064.1666666666665,69041.55537314153,24291.555373141524,44750.0,109.0,276166.22149256605,345207.7768657076,0.7999999999999999,54265507.51408708,3313994.6579107926
171,2064.25,69067.82488497031,24317.824884970312,44749.99999999999,109.0,276271.2995398812,345339.1244248515,0.7999999999999999,54610846.63851193,3315255.594478574
172,2064.3333333333335,69317.22747421768,24567.227474217678,44750.0,110.0,277268.90989687067,346586.1373710884,0.7999999999999999,54957432.77588302,3327226.9187624482
173,2064.4166666666665,69343.32463523031,24593.324635230307,44750.0,110.0,277442.36702557845,346785.69166080875,0.800039833526191,55304149.39905918,3329308.4043069407
174,2064.5,69369.21680261847,24619.216802618466,44750.0,110.0,305190.1974973962,374559.4143000147,0.8147978287176221,55650995.483072266,3662282.3699687547
175,2064.5833333333335,69394.90510287439,24644.905102874392,44749.99999999999,110.0,249797.2216399179,319192.1267427923,0.782592052595353,55997970.00858664,2997566.659679015
