t,year,earth_arrivals_tons,rocket_arrivals_tons,elevator_arrivals_tons,rocket_trips,isru_production_tons,total_supply_tons,isru_share,cumulative_city_tons,capacity_tpy,N_t,C_dom,C_ag,M_dot_base,C_ind,loss_bio,loss_ind,loss_leak,net_loss,W_preempt,W_reactive,q_E_preempt,q_E_reactive
33,2052.75,59622.07491758185,14872.07491758184,44750.0,88.0,238253.86438598743,297875.9393035693,0.7998425953536978,9891634.388496352,2859046.3726318497,0,0.0,0.0,805.5439556956854,80.55439556956856,0.0,4.027719778478431,0.0,4.027719778478431,0.0,0.0,0.0,0.0
34,2052.8333333333335,59670.17487547331,14920.174875473316,44750.0,88.0,238680.69950189325,298350.87437736656,0.8,10189985.26287372,2864168.394022719,0,0.0,0.0,15.831169126574727,1.5831169126574727,0.0,0.0791558456328737,0.0,0.0791558456328737,0.0,0.0,0.0,0.0
35,2052.9166666666665,59718.10372128882,14968.103721288817,44750.0,88.0,262568.7398045057,322286.84352579457,0.8147051146488726,10488575.78148016,3150824.8776540686,0,0.0,0.0,797.8656382809335,79.78656382809335,0.0,3.989328191404671,0.0,3.989328191404671,0.0,0.0,0.0,0.0
36,2053.0,59765.859982892405,15015.859982892409,44750.0,88.0,215605.17499205284,275371.03497494524,0.7829624310765646,10787405.081394624,2587262.0999046345,0,0.0,0.0,-1563.8602850283107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2053.0833333333335,59984.61769565201,15234.617695652005,44750.00000000001,89.0,239700.4108027743,299685.0284984263,0.7998411265447416,11087328.169872884,2876404.929633292,0,0.0,0.0,810.4664507827023,81.04664507827023,0.0,4.052332253913515,0.0,4.052332253913515,0.0,0.0,0.0,0.0
38,2053.1666666666665,60032.563197101874,15282.563197101885,44749.99999999999,89.0,240130.2527884075,300162.81598550937,0.8,11387490.985858394,2881563.03346089,0,0.0,0.0,15.926249569435216,1.5926249569435216,0.0,0.07963124784717615,0.0,0.07963124784717615,0.0,0.0,0.0,0.0
39,2053.25,60080.32985538943,15330.329855389424,44750.00000000001,89.0,240321.3194215577,300401.64927694714,0.8,11687892.63513534,2883855.8330586925,0,0.0,0.0,7.961109714592264,0.7961109714592265,0.0,0.03980554857296136,0.0,0.03980554857296136,0.0,0.0,0.0,0.0
40,2053.3333333333335,60127.91629440266,15377.91629440266,44750.0,89.0,240511.66517761064,300639.58147201326,0.8,11988532.216607356,2886139.9821313275,0,0.0,0.0,7.931073168870838,0.7931073168870838,0.0,0.03965536584435422,0.0,0.03965536584435422,0.0,0.0,0.0,0.0
41,2053.4166666666665,60175.32116634703,15425.32116634703,44750.0,89.0,240701.28466538808,300876.6058317351,0.7999999999999999,12289408.82243909,2888415.415984657,0,0.0,0.0,7.900811990728835,0.7900811990728835,0.0,0.03950405995364421,0.0,0.03950405995364421,0.0,0.0,0.0,0.0
42,2053.5,60396.39195123901,15646.391951239006,44750.0,90.0,241585.567804956,301981.959756195,0.8,12591390.782195283,2899026.8136594724,0,0.0,0.0,36.8451308153298,3.6845130815329803,0.0,0.18422565407664918,0.0,0.18422565407664918,0.0,0.0,0.0,0.0
43,2053.5833333333335,60443.95827379305,15693.958273793049,44750.0,90.0,241775.8330951722,302219.79136896523,0.8,12893610.57356425,2901309.9971420662,0,0.0,0.0,7.92772042567376,0.7927720425673761,0.0,0.03963860212836884,0.0,0.03963860212836884,0.0,0.0,0.0,0.0
44,2053.6666666666665,60491.337072506314,15741.337072506318,44750.0,90.0,241965.3482900253,302456.68536253157,0.8,13196067.258926785,2903584.179480303,0,0.0,0.0,7.896466452211219,0.7896466452211219,0.0,0.03948233226105613,0.0,0.03948233226105613,0.0,0.0,0.0,0.0
45,2053.75,60538.52709924997,15788.527099249974,44750.0,90.0,242154.10839699983,302692.6354962498,0.8,13498759.894423032,2905849.300763998,0,0.0,0.0,7.865004457273366,0.7865004457273366,0.0,0.03932502228636686,0.0,0.03932502228636686,0.0,0.0,0.0,0.0
46,2053.8333333333335,60585.5271346216,15835.527134621603,44750.0,90.0,242342.10853848635,302927.6356731079,0.8,13801687.530096142,2908105.3024618365,0,0.0,0.0,7.83333922860523,0.7833339228605231,0.0,0.03916669614302619,0.0,0.03916669614302619,0.0,0.0,0.0,0.0
47,2053.9166666666665,60808.8063878057,16058.806387805693,44750.00000000001,91.0,243235.2255512227,304044.0319390284,0.8,14105731.56203517,2918822.706614673,0,0.0,0.0,37.213208864016146,3.7213208864016147,0.0,0.1860660443200809,0.0,0.1860660443200809,0.0,0.0,0.0,0.0
48,2054.0,60855.940858310394,16105.94085831039,44750.0,91.0,243423.76343324155,304279.70429155196,0.7999999999999999,14410011.266326722,2921085.1611988987,0,0.0,0.0,7.855745084118098,0.7855745084118099,0.0,0.03927872542059053,0.0,0.03927872542059053,0.0,0.0,0.0,0.0
49,2054.0833333333335,60902.87970174878,16152.879701748783,44750.0,91.0,243611.51880699513,304514.3985087439,0.8,14714525.664835464,2923338.2256839415,0,0.0,0.0,7.82314057306503,0.782314057306503,0.0,0.03911570286532519,0.0,0.03911570286532519,0.0,0.0,0.0,0.0
50,2054.1666666666665,60949.62180121085,16199.621801210837,44750.0,91.0,243798.48720484335,304748.1090060542,0.8,15019273.77384152,2925581.8464581203,0,0.0,0.0,7.7903499103422895,0.779034991034229,0.0,0.03895174955171148,0.0,0.03895174955171148,0.0,0.0,0.0,0.0
51,2054.25,60996.166068721795,16246.166068721805,44749.99999999999,91.0,243984.6642748872,304980.830343609,0.8,15324254.604185129,2927815.971298646,0,0.0,0.0,7.757377918493391,0.7757377918493391,0.0,0.03878688959246699,0.0,0.03878688959246699,0.0,0.0,0.0,0.0
52,2054.3333333333335,61221.55003250469,16471.55003250468,44750.00000000001,92.0,268477.0406872854,329698.5907197901,0.8143105498302337,15630362.354347652,3221724.4882474253,0,0.0,0.0,823.9253458727035,82.39253458727035,0.0,4.119626729363521,0.0,4.119626729363521,0.0,0.0,0.0,0.0
53,2054.4166666666665,61268.20258060232,16518.202580602312,44750.00000000001,92.0,221481.96976514257,282750.1723457449,0.7833132971332586,15936703.367250664,2657783.637181711,0,0.0,0.0,-1564.947279134839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2054.5,61314.651997991445,16564.65199799145,44750.0,92.0,245258.60799196575,306573.2599899572,0.7999999999999999,16243276.62724062,2943103.295903589,0,0.0,0.0,794.1029214737432,79.41029214737432,0.0,3.9705146073687194,0.0,3.9705146073687194,0.0,0.0,0.0,0.0
55,2054.5833333333335,61360.89730121112,16610.89730121112,44750.0,92.0,245443.58920484447,306804.4865060556,0.8,16550081.113746677,2945323.0704581337,0,0.0,0.0,7.707550536612204,0.7707550536612204,0.0,0.038537752683061054,0.0,0.038537752683061054,0.0,0.0,0.0,0.0
56,2054.6666666666665,61406.9375357456,16656.9375357456,44749.99999999999,92.0,245627.7501429824,307034.68767872796,0.8,16857115.801425405,2947533.0017157886,0,0.0,0.0,7.673372422412892,0.7673372422412892,0.0,0.03836686211206449,0.0,0.03836686211206449,0.0,0.0,0.0,0.0
57,2054.75,61634.32364307139,16884.323643071388,44749.99999999999,93.0,246537.29457228552,308171.6182153569,0.8,17165287.41964076,2958447.5348674264,0,0.0,0.0,37.89768455429779,3.7897684554297792,0.0,0.18948842277148914,0.0,0.18948842277148914,0.0,0.0,0.0,0.0
58,2054.8333333333335,61680.44694149132,16930.446941491315,44750.0,93.0,271210.2420705224,332890.6890120137,0.8147126099424628,17473689.654348217,3254522.9048462687,0,0.0,0.0,823.9690265552276,82.39690265552277,0.0,4.119845132776142,0.0,4.119845132776142,0.0,0.0,0.0,0.0
59,2054.9166666666665,61726.3602222257,16976.360222225707,44749.99999999999,93.0,222416.98658434564,284143.34680657135,0.7827633097309665,17782321.455459345,2669003.839012148,0,0.0,0.0,-1624.911406848079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2055.0,61772.06263650852,17022.06263650851,44750.00000000001,93.0,247088.250546034,308860.31318254257,0.7999999999999999,18091181.76864189,2965059.0065524084,0,0.0,0.0,823.8988791990404,82.38988791990404,0.0,4.119494395995206,0.0,4.119494395995206,0.0,0.0,0.0,0.0
61,2055.0833333333335,61817.5533643403,17067.553364340307,44749.99999999999,93.0,247270.21345736115,309087.7668217014,0.8,18400269.53546359,2967242.561488334,0,0.0,0.0,7.581787971962088,0.7581787971962088,0.0,0.037908939859810475,0.0,0.037908939859810475,0.0,0.0,0.0,0.0
62,2055.1666666666665,61862.831614370094,17112.831614370094,44749.99999999999,93.0,247451.32645748035,309314.1580718504,0.8,18709583.69353544,2969415.9174897643,0,0.0,0.0,7.546375004966588,0.7546375004966589,0.0,0.03773187502483298,0.0,0.03773187502483298,0.0,0.0,0.0,0.0
63,2055.25,62092.39013585413,17342.390135854133,44750.0,94.0,248369.56054341653,310461.95067927067,0.8,19020045.644214712,2980434.7265209984,0,0.0,0.0,38.25975358067468,3.8259753580674687,0.0,0.1912987679033736,0.0,0.1912987679033736,0.0,0.0,0.0,0.0
64,2055.3333333333335,62137.72343937475,17387.723439374746,44750.0,94.0,248550.89375749897,310688.6171968737,0.8,19330734.261411585,2982610.7250899877,0,0.0,0.0,7.5555505867678825,0.7555550586767883,0.0,0.03777775293383945,0.0,0.03777775293383945,0.0,0.0,0.0,0.0
65,2055.4166666666665,62182.839753244625,17432.839753244618,44750.00000000001,94.0,248731.35901297844,310914.19876622304,0.8,19641648.46017781,2984776.3081557415,0,0.0,0.0,7.5193856449778345,0.7519385644977835,0.0,0.037596928224889206,0.0,0.037596928224889206,0.0,0.0,0.0,0.0
66,2055.5,62227.73839209817,17477.73839209817,44750.0,94.0,248910.95356839267,311138.69196049083,0.8,19952787.1521383,2986931.442820712,0,0.0,0.0,7.483106475593134,0.7483106475593134,0.0,0.0374155323779657,0.0,0.0374155323779657,0.0,0.0,0.0,0.0
67,2055.5833333333335,62272.41869882829,17522.41869882828,44750.00000000001,94.0,249089.6747953131,311362.09349414136,0.8,20264149.245632444,2989076.0975437574,0,0.0,0.0,7.446717788350846,0.7446717788350847,0.0,0.03723358894175427,0.0,0.03723358894175427,0.0,0.0,0.0,0.0
68,2055.6666666666665,62503.761747029625,17753.761747029625,44750.0,95.0,250015.04698811847,312518.8087351481,0.7999999999999999,20576668.05436759,3000180.5638574217,0,0.0,0.0,38.557174700225005,3.8557174700225008,0.0,0.19278587350112522,0.0,0.19278587350112522,0.0,0.0,0.0,0.0
69,2055.75,62548.474187704895,17798.474187704887,44750.0,95.0,250735.8226058754,313284.2967935803,0.8003459642635156,20889410.425306115,3008829.8712705052,0,0.0,0.0,25.516268614406,2.5516268614406,0.0,0.12758134307203012,0.0,0.12758134307203012,0.0,0.0,0.0,0.0
70,2055.8333333333335,62592.96415101833,17842.96415101833,44750.0,95.0,249829.9307490174,312422.8949000357,0.799653081855458,21202375.24606121,2997959.168988209,0,0.0,0.0,-28.713396451486428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2055.9166666666665,62637.23108546002,17887.231085460015,44750.00000000001,95.0,274887.8189898382,337525.0500752982,0.8144219782458033,21515561.401488505,3298653.8278780584,0,0.0,0.0,836.7385058420826,83.67385058420827,0.0,4.1836925292104175,0.0,4.1836925292104175,0.0,0.0,0.0,0.0
72,2056.0,62681.274467226656,17931.274467226656,44750.0,95.0,226386.20322090847,289067.4776881351,0.7831604061151034,21828967.77382464,2716634.438650902,0,0.0,0.0,-1615.2524129054354,0.0,0.0,0.0,0.0,0.0,2083.3333333333335,0.0,2083.3333333333335,0.0
73,2056.0833333333335,62914.3053137176,18164.305313717603,44750.0,96.0,251657.22125487035,314571.526568588,0.7999999999999999,22143539.300393227,3019886.6550584445,0,0.0,0.0,850.1349626817624,85.01349626817625,0.0,4.250674813408817,0.0,4.250674813408817,4038.972811153307,0.0,2083.3333333333494,0.0
74,2056.1666666666665,62958.35902139339,18208.359021393393,44749.99999999999,96.0,251833.4360855735,314791.7951069669,0.8,22458331.095500194,3022001.233026882,0,0.0,0.0,7.342284612631192,0.7342284612631192,0.0,0.036711423063155994,0.0,0.036711423063155994,6121.404749531812,0.0,2083.8698621379954,0.0
75,2056.25,63002.18540132436,18252.185401324357,44750.0,96.0,252008.74160529743,315010.9270066218,0.8,22773342.022506814,3024104.899263569,0,0.0,0.0,7.304396655162176,0.7304396655162176,0.0,0.03652198327581092,0.0,0.03652198327581092,8203.674902297947,0.0,2083.87592932687,0.0
76,2056.3333333333335,63045.78403424111,18295.784034241115,44749.99999999999,96.0,252183.13613696443,315228.92017120554,0.8,23088570.94267802,3026197.633643573,0,0.0,0.0,7.26643881945832,0.7266438819458321,0.0,0.03633219409729164,0.0,0.03633219409729164,10285.784030364694,0.0,2083.8827334648554,0.0
77,2056.4166666666665,63089.15452787612,18339.154527876115,44750.00000000001,96.0,252356.61811150447,315445.7726393806,0.8,23404016.7153174,3028279.4173380537,0,0.0,0.0,7.228415605835228,0.7228415605835229,0.0,0.036142078029176176,0.0,0.036142078029176176,12367.732900076458,0.0,2083.890280721836,0.0
78,2056.5,63132.29651675088,18382.29651675088,44750.0,96.0,252529.18606700352,315661.4825837544,0.8,23719678.197901156,3030350.2328040423,0,0.0,0.0,7.190331479127053,0.7190331479127053,0.0,0.0359516573956353,0.0,0.0359516573956353,14449.52228329635,0.0,2083.898577350101,0.0
79,2056.5833333333335,63367.13892926868,18617.138929268684,44749.99999999999,97.0,253468.5557170747,316835.69464634336,0.8,24036513.892547496,3041622.6686048964,0,0.0,0.0,39.14040208629837,3.9140402086298374,0.0,0.19570201043149205,0.0,0.19570201043149205,16526.354725811903,0.0,2083.9076296854396,0.0
80,2056.6666666666665,63410.267543130016,18660.267543130016,44749.99999999999,97.0,253641.07017252003,317051.33771565004,0.8,24353565.230263148,3043692.8420702405,0,0.0,0.0,7.188102310222651,0.7188102310222652,0.0,0.03594051155111329,0.0,0.03594051155111329,18607.83744042005,0.0,2083.938126181829,0.0
81,2056.75,63453.16432429588,18703.164324295885,44750.0,97.0,253812.65729718353,317265.8216214794,0.8,24670831.05188463,3045751.8875662023,0,0.0,0.0,7.149463527645761,0.7149463527645761,0.0,0.03574731763822884,0.0,0.03574731763822884,20689.16312344005,0.0,2083.9487556691774,0.0
82,2056.8333333333335,63495.8290095049,18745.8290095049,44750.0,97.0,253983.31603801955,317479.1450475245,0.7999999999999999,24988310.196932152,3047799.792456235,0,0.0,0.0,7.110780868168998,0.7110780868168999,0.0,0.03555390434084502,0.0,0.03555390434084502,22770.332569715752,0.0,2083.9601603328856,0.0
83,2056.9166666666665,63538.2613614201,18788.261361420093,44750.00000000001,97.0,254153.0454456804,317691.3068071005,0.8,25306001.503739253,3049836.5453481646,0,0.0,0.0,7.0720586525334515,0.7072058652533452,0.0,0.03536029326266729,0.0,0.03536029326266729,24851.34658006085,0.0,2083.97234685712,0.0
