t,year,rocket_arrivals_tons,elevator_arrivals_tons,isru_production_tons,cumulative_city_tons,D_E_aggressive,D_M,D_total_aggressive,D_E_conservative,D_M_conservative,D_total_conservative
50,2054.1666666666665,16199.621801210837,44750.0,243798.48720484335,15019273.77384152,1503790702.4180713,12015419.019073216,1515806121.4371445,17872086.27384152,0.0,17872086.27384152
51,2054.25,16246.166068721805,44749.99999999999,243984.6642748872,15324254.604185129,1537638665.3410127,12259403.683348104,1549898069.024361,18233004.604185127,0.0,18233004.604185127
52,2054.3333333333335,16471.55003250468,44750.00000000001,268477.0406872854,15630362.354347652,1571955426.9086225,12527880.72403539,1584483307.632658,18624538.405044235,0.0,18624538.405044235
53,2054.4166666666665,16518.202580602312,44750.00000000001,221481.96976514257,15936703.367250664,1606369225.7762754,12749362.693800533,1619118588.4700758,18957328.367250662,0.0,18957328.367250662
54,2054.5,16564.65199799145,44750.0,245258.60799196575,16243276.62724062,1640879639.4320977,12994621.301792499,1653874260.73389,19319839.12724062,0.0,19319839.12724062
55,2054.5833333333335,16610.89730121112,44750.0,245443.58920484447,16550081.113746677,1675486243.3186169,13240064.890997343,1688726308.2096143,19682581.113746677,0.0,19682581.113746677
56,2054.6666666666665,16656.9375357456,44749.99999999999,245627.7501429824,16857115.801425405,1710188610.8929677,13485692.641140325,1723674303.534108,20045553.301425405,0.0,20045553.301425405
57,2054.75,16884.323643071388,44749.99999999999,246537.29457228552,17165287.41964076,1745363941.5705562,13732229.935712611,1759096171.5062687,20409662.41964076,0.0,20409662.41964076
58,2054.8333333333335,16930.446941491315,44750.0,271210.2420705224,17473689.654348217,1780635208.708858,14003440.177783133,1794638648.8866413,20804612.722228914,0.0,20804612.722228914
59,2054.9166666666665,16976.360222225707,44749.99999999999,222416.98658434564,17782321.455459345,1816001975.4710875,14225857.164367478,1830227832.635455,21138571.455459345,0.0,21138571.455459345
60,2055.0,17022.06263650851,44750.00000000001,247088.250546034,18091181.76864189,1851463803.2550251,14472945.414913513,1865936748.6699386,21503369.263433553,0.00416666666666665,21503369.26760022
61,2055.0833333333335,17067.553364340307,44749.99999999999,247270.21345736115,18400269.53546359,1887020251.752853,14720215.628370874,1901740467.3812237,21838733.82139968,23728.57125112404,21862462.392650805
